category,sporozoites
control,7.2
control,7.4
control,7.7
control,7.9
control,7.9
control,8
control,8.2
control,8.3
control,8.4
control,8.4
control,8.5
control,9.1
control,9.2
wild type,5.6
wild type,6.5
wild type,7
wild type,7.5
wild type,7.9
wild type,7.9
wild type,8
wild type,8
wild type,8.2
wild type,8.4
wild type,9
wild type,9.1
wild type,9
Scorpine,0
Scorpine,4.4
Scorpine,5.3
Scorpine,5.6
Scorpine,4.1
Scorpine,5.3
Scorpine,5.9
Scorpine,6
Scorpine,6
Scorpine,6.1
Scorpine,6.2
Scorpine,7
Scorpine,7.5
